Frequence;Cepage;Couleur_Actuelle;Statut
2;Merlot-Shiraz;NON DÉFINI;A FAIRE
2;Roscetto;NON DÉFINI;A FAIRE
2;Gragnano;NON DÉFINI;A FAIRE
2;Malmsey;NON DÉFINI;A FAIRE
2;Rivaner;NON DÉFINI;A FAIRE
2;Shiraz-Merlot;NON DÉFINI;A FAIRE
2;Vermentino Nero;NON DÉFINI;A FAIRE
2;Tinta Barroca;NON DÉFINI;A FAIRE
2;Muscadet;NON DÉFINI;A FAIRE
2;País;NON DÉFINI;A FAIRE
2;Maréchal Foch;NON DÉFINI;A FAIRE
2;Athiri;NON DÉFINI;A FAIRE
2;Sercial;NON DÉFINI;A FAIRE
2;Gouveio;NON DÉFINI;A FAIRE
2;Crespiello;NON DÉFINI;A FAIRE
2;Pelaverga Piccolo;NON DÉFINI;A FAIRE
2;Merlot-Grenache;NON DÉFINI;A FAIRE
2;Cabernet Franc-Tempranillo;NON DÉFINI;A FAIRE
2;Tinta Negra Mole;NON DÉFINI;A FAIRE
2;Mtsvane;NON DÉFINI;A FAIRE
2;Kallmet;NON DÉFINI;A FAIRE
2;Franconia;NON DÉFINI;A FAIRE
2;Marsanne-Viognier;NON DÉFINI;A FAIRE
2;Magliocco;NON DÉFINI;A FAIRE
2;Pigato;NON DÉFINI;A FAIRE
2;Tannat-Syrah;NON DÉFINI;A FAIRE
2;Karalahna;NON DÉFINI;A FAIRE
2;Morillon;NON DÉFINI;A FAIRE
2;Pinot Noir-Syrah;NON DÉFINI;A FAIRE
2;Emir;NON DÉFINI;A FAIRE
2;Muscatel;NON DÉFINI;A FAIRE
2;Sämling;NON DÉFINI;A FAIRE
2;Roussanne-Grenache Blanc;NON DÉFINI;A FAIRE
2;Doña Blanca;NON DÉFINI;A FAIRE
2;Zelen;NON DÉFINI;A FAIRE
2;Incrocio Manzoni;NON DÉFINI;A FAIRE
2;Mazuelo;NON DÉFINI;A FAIRE
2;Madeleine Angevine;NON DÉFINI;A FAIRE
1;Cococciola;NON DÉFINI;A FAIRE
1;Chardonelle;NON DÉFINI;A FAIRE
1;Altesse;NON DÉFINI;A FAIRE
1;Rabigato;NON DÉFINI;A FAIRE
1;Pinotage-Merlot;NON DÉFINI;A FAIRE
1;Grolleau;NON DÉFINI;A FAIRE
1;Asprinio;NON DÉFINI;A FAIRE
1;Mandilaria;NON DÉFINI;A FAIRE
1;Freisa;NON DÉFINI;A FAIRE
1;Pardina;NON DÉFINI;A FAIRE
1;Chardonnay-Pinot Gris;NON DÉFINI;A FAIRE
1;Sauvignon Musqué;NON DÉFINI;A FAIRE
1;Irsai Oliver;NON DÉFINI;A FAIRE
